name,psnr,ssim,lpips
DJI_20260110101018_0006_V,19.95042252308672,0.5488545894622803,0.26655571162700653
DJI_20260110101023_0011_V,19.630919345236567,0.484340637922287,0.29932691156864166
DJI_20260110101026_0014_V,20.50267431793276,0.5856418609619141,0.24505195021629333
DJI_20260110101027_0015_V,20.013045165430484,0.5463903546333313,0.25915496051311493
DJI_20260110101030_0019_V,20.143004989834992,0.6456284523010254,0.25912608951330185
DJI_20260110101032_0021_V,19.732117856367285,0.541647732257843,0.27977871894836426
DJI_20260110101035_0025_V,18.543458127609995,0.578599214553833,0.28290216624736786
DJI_20260110101040_0030_V,14.643279970439721,0.3698659837245941,0.3965044766664505
DJI_20260110101043_0033_V,11.454421205721513,0.2665925920009613,0.6248416304588318
DJI_20260110101049_0041_V,19.93612966298322,0.6148549318313599,0.2798703610897064
DJI_20260110101051_0043_V,20.39982208477609,0.6020092964172363,0.275542289018631
DJI_20260110101052_0044_V,23.23721970722946,0.6343286633491516,0.2743791192770004
DJI_20260110101057_0050_V,21.842227554367824,0.5479775071144104,0.3444579243659973
DJI_20260110101117_0057_V,20.059701189968937,0.5427790284156799,0.3147354871034622
DJI_20260110101121_0060_V,22.924409510773348,0.6750134229660034,0.23752059787511826
DJI_20260110101127_0065_V,22.64990694785686,0.5603349804878235,0.27757832407951355
DJI_20260110101129_0067_V,21.6610961302001,0.566693127155304,0.2846904546022415
DJI_20260110101130_0068_V,21.86349292804694,0.6556733846664429,0.2424076423048973
DJI_20260110101135_0074_V,22.153681433111878,0.6119847893714905,0.26300422847270966
DJI_20260110101136_0075_V,21.509439985116906,0.6681613922119141,0.2307528704404831
DJI_20260110101142_0081_V,21.172685919961292,0.5931679010391235,0.2639578729867935
DJI_20260110101149_0089_V,21.326861353258405,0.6191352605819702,0.24684328585863113
DJI_20260110101153_0094_V,20.957327162585404,0.6551892757415771,0.23148520290851593
DJI_20260110101157_0098_V,20.60580986591276,0.5262582898139954,0.270866796374321
DJI_20260110101201_0103_V,20.546642350217134,0.6032056212425232,0.23414668440818787
DJI_20260110101232_0119_V,21.364319138236553,0.6339569687843323,0.23594921082258224
DJI_20260110101242_0130_V,22.695123427740374,0.729337751865387,0.18794695287942886
DJI_20260110101244_0132_V,22.622365773630804,0.7152718901634216,0.20584197342395782
DJI_20260110101253_0142_V,22.40252991417233,0.669599175453186,0.24305523186922073
DJI_20260110101254_0144_V,21.36807936638059,0.5757816433906555,0.26779507100582123
DJI_20260110101259_0149_V,23.039491748946503,0.7165437340736389,0.21127832680940628
DJI_20260110101315_0166_V,22.645667499336884,0.6312040686607361,0.27251845598220825
DJI_20260110101316_0167_V,21.220875378215748,0.5560443997383118,0.3162020593881607
DJI_20260110101329_0168_V,21.172813350783603,0.5552321672439575,0.3130331337451935
DJI_20260110101333_0171_V,23.548479356188192,0.7297213673591614,0.22281702607870102
DJI_20260110101341_0178_V,22.991865550116046,0.6010035872459412,0.2300233095884323
DJI_20260110101348_0187_V,23.326660102613864,0.7552684545516968,0.1857142597436905
DJI_20260110101353_0193_V,23.065791391963224,0.7382146120071411,0.1870008260011673
DJI_20260110101358_0199_V,22.14867014989369,0.6405080556869507,0.23336151242256165
DJI_20260110101405_0207_V,22.80470125746188,0.7036411166191101,0.2173505648970604
DJI_20260110101408_0210_V,21.36082276308408,0.5881595015525818,0.2566249296069145
DJI_20260110101411_0214_V,18.842026302021964,0.41137397289276123,0.33919380605220795
DJI_20260110101422_0224_V,21.40160708629606,0.6453846096992493,0.2375454604625702
DJI_20260110101441_0230_V,23.26891165654274,0.7106614708900452,0.20471422374248505
DJI_20260110101450_0239_V,24.96835955221983,0.8397858738899231,0.13415884971618652
DJI_20260110101451_0241_V,26.03269141797223,0.8443008065223694,0.14942387491464615
DJI_20260110101453_0244_V,25.238750776363048,0.8706090450286865,0.13692157343029976
DJI_20260110101456_0247_V,25.74371879706449,0.9180290102958679,0.11901722848415375
DJI_20260110101459_0251_V,23.08231484853784,0.7320241332054138,0.19308951497077942
DJI_20260110101504_0257_V,22.40289810462952,0.6850454807281494,0.2107255756855011
DJI_20260110101519_0274_V,20.535126759663264,0.5494109988212585,0.24755648523569107
DJI_20260110101521_0277_V,22.735497785491155,0.7025305032730103,0.20694953203201294
DJI_20260110101524_0280_V,22.42824521320322,0.6909465193748474,0.2063881680369377
DJI_20260110101553_0294_V,22.4040176375538,0.6587158441543579,0.2407863512635231
DJI_20260110101555_0296_V,20.64547238654782,0.6459146738052368,0.2507321536540985
DJI_20260110101612_0317_V,22.80742871173297,0.9459748268127441,0.18358280509710312
DJI_20260110101613_0318_V,23.20574042700723,0.7221266627311707,0.19912805408239365
DJI_20260110101616_0322_V,21.54029489901834,0.7861379384994507,0.17149975150823593
DJI_20260110101619_0325_V,24.016321533265057,0.8645299077033997,0.13108979165554047
DJI_20260110101619_0326_V,22.871422204520464,0.8156944513320923,0.17489807307720184
DJI_20260110101621_0328_V,23.129133704339417,0.7541877627372742,0.21401886641979218
DJI_20260110101623_0330_V,22.493419467283825,0.6912904381752014,0.2410811185836792
DJI_20260110101627_0335_V,25.06818092109048,0.8113982677459717,0.18042931705713272
DJI_20260110101629_0337_V,24.004378222468734,0.7598716020584106,0.19370024651288986
