name,psnr,ssim,lpips
DJI_20260110101018_0006_V,19.948997594364304,0.5488137006759644,0.2666003108024597
DJI_20260110101023_0011_V,19.63400252799939,0.484473317861557,0.2992304116487503
DJI_20260110101026_0014_V,20.50540886299535,0.5858476758003235,0.24503591656684875
DJI_20260110101027_0015_V,20.006617383028175,0.5458844304084778,0.2591535300016403
DJI_20260110101030_0019_V,20.136892994737178,0.6448433995246887,0.2595498710870743
DJI_20260110101032_0021_V,19.736701811556195,0.5420026779174805,0.27982331812381744
DJI_20260110101035_0025_V,18.549754699008474,0.5796878337860107,0.28247369080781937
DJI_20260110101040_0030_V,14.644370632776987,0.36974194645881653,0.3963486850261688
DJI_20260110101043_0033_V,11.454600768382956,0.2665538489818573,0.624879002571106
DJI_20260110101049_0041_V,19.944233236787877,0.6156108975410461,0.2796720415353775
DJI_20260110101051_0043_V,20.370693379914634,0.5999119877815247,0.2762927711009979
DJI_20260110101052_0044_V,23.238077659421595,0.6343889832496643,0.27438612282276154
DJI_20260110101057_0050_V,21.842107940320552,0.5479339957237244,0.34439998865127563
DJI_20260110101117_0057_V,20.065668889041746,0.5431402921676636,0.31461480259895325
DJI_20260110101121_0060_V,22.93235248181169,0.6767220497131348,0.23721514642238617
DJI_20260110101127_0065_V,22.642741665702424,0.5598852634429932,0.277653768658638
DJI_20260110101129_0067_V,21.664525137920126,0.5675228834152222,0.28456516563892365
DJI_20260110101130_0068_V,21.86747915467454,0.6560477018356323,0.24215520173311234
DJI_20260110101135_0074_V,22.15379599691236,0.6115391850471497,0.26297132670879364
DJI_20260110101136_0075_V,21.528344669636557,0.6686431169509888,0.23102638125419617
DJI_20260110101142_0081_V,21.181732724634035,0.5937277674674988,0.26396653056144714
DJI_20260110101149_0089_V,21.330533504362915,0.61918044090271,0.24676695466041565
DJI_20260110101153_0094_V,20.960293977886153,0.6550186276435852,0.2313828021287918
DJI_20260110101157_0098_V,20.603260945815144,0.5260144472122192,0.27089981734752655
DJI_20260110101201_0103_V,20.569966154630166,0.6049540042877197,0.23392581194639206
DJI_20260110101232_0119_V,21.385596819028034,0.6351526975631714,0.23528406769037247
DJI_20260110101242_0130_V,22.72230009019274,0.7308804988861084,0.18786902725696564
DJI_20260110101244_0132_V,22.626661022518633,0.7154760956764221,0.20588764548301697
DJI_20260110101253_0142_V,22.433820836467362,0.6713220477104187,0.2427832931280136
DJI_20260110101254_0144_V,21.366195936883766,0.5758585333824158,0.2677926868200302
DJI_20260110101259_0149_V,23.01470897263972,0.7147161364555359,0.21141993254423141
DJI_20260110101315_0166_V,22.65462864028953,0.6322228908538818,0.27258631587028503
DJI_20260110101316_0167_V,21.2185224128813,0.5557106137275696,0.31635957956314087
DJI_20260110101329_0168_V,21.168342262223355,0.5548844337463379,0.3131124973297119
DJI_20260110101333_0171_V,23.554278413398386,0.7301042079925537,0.22275987267494202
DJI_20260110101341_0178_V,22.990931661558815,0.6007958650588989,0.2299433946609497
DJI_20260110101348_0187_V,23.332532207210036,0.7555992007255554,0.1858864650130272
DJI_20260110101353_0193_V,23.07868478439127,0.738990843296051,0.1870354413986206
DJI_20260110101358_0199_V,22.140532671780264,0.6399890184402466,0.23337004333734512
DJI_20260110101405_0207_V,22.80827145091994,0.7037643790245056,0.217458114027977
DJI_20260110101408_0210_V,21.36242405409795,0.5880413055419922,0.25662264227867126
DJI_20260110101411_0214_V,18.840498926932955,0.41137948632240295,0.3392694890499115
DJI_20260110101422_0224_V,21.449291710941004,0.6481980085372925,0.236775241792202
DJI_20260110101441_0230_V,23.2664469728727,0.7101033329963684,0.20505695790052414
