name,psnr,ssim,lpips
DJI_20260110101018_0006_V,19.935203500419526,0.5478016138076782,0.26663798093795776
DJI_20260110101023_0011_V,19.632935653717563,0.48437198996543884,0.29941870272159576
DJI_20260110101026_0014_V,20.481971354556276,0.5841842889785767,0.2454790100455284
DJI_20260110101027_0015_V,20.00867732370976,0.5461834073066711,0.2591404318809509
DJI_20260110101030_0019_V,20.129871817154804,0.6445497870445251,0.25949543714523315
DJI_20260110101032_0021_V,19.73295986383501,0.541618824005127,0.27988384664058685
DJI_20260110101035_0025_V,18.540285083414442,0.5787282586097717,0.2828577235341072
DJI_20260110101040_0030_V,14.646974907204422,0.36979353427886963,0.3962010592222214
DJI_20260110101043_0033_V,11.454294566495282,0.26659834384918213,0.6248303353786469
DJI_20260110101049_0041_V,19.941263402613536,0.6149205565452576,0.27960340678691864
DJI_20260110101051_0043_V,20.360526911264287,0.5988408923149109,0.2764686048030853
DJI_20260110101052_0044_V,23.240142468576348,0.634904146194458,0.27444255352020264
DJI_20260110101057_0050_V,21.841437915307417,0.5477328896522522,0.34437818825244904
DJI_20260110101117_0057_V,20.06341880560203,0.5431800484657288,0.31452327966690063
DJI_20260110101121_0060_V,22.911375928366837,0.6751683950424194,0.23774868994951248
DJI_20260110101127_0065_V,22.637077770222213,0.5598788261413574,0.2776462882757187
DJI_20260110101129_0067_V,21.66259409737533,0.5671182870864868,0.2847609966993332
DJI_20260110101130_0068_V,21.867832336503746,0.6559303998947144,0.24231039732694626
DJI_20260110101135_0074_V,22.162866416180968,0.6124259829521179,0.26302921772003174
DJI_20260110101136_0075_V,21.52588608903948,0.6697831749916077,0.2308822125196457
DJI_20260110101142_0081_V,21.156946665153335,0.5924477577209473,0.26415151357650757
DJI_20260110101149_0089_V,21.320480375750577,0.6187402009963989,0.24682895094156265
DJI_20260110101153_0094_V,20.967664804292557,0.6559223532676697,0.23140469938516617
DJI_20260110101157_0098_V,20.60027554959362,0.5258931517601013,0.27096185088157654
DJI_20260110101201_0103_V,20.542032357584677,0.6021713614463806,0.23448467254638672
DJI_20260110101232_0119_V,21.361035238440188,0.6336689591407776,0.2358643189072609
DJI_20260110101242_0130_V,22.712860699318394,0.7302076816558838,0.18802472203969955
DJI_20260110101244_0132_V,22.62876319351126,0.7155637741088867,0.2059863805770874
DJI_20260110101253_0142_V,22.45090013308615,0.6722099781036377,0.24260637164115906
DJI_20260110101254_0144_V,21.371651481106696,0.5760191679000854,0.26783376932144165
DJI_20260110101259_0149_V,23.05451391806894,0.7168314456939697,0.21102070063352585
DJI_20260110101315_0166_V,22.64797981868055,0.6314979791641235,0.2729082852602005
DJI_20260110101316_0167_V,21.221308027652338,0.555746853351593,0.3161202669143677
DJI_20260110101329_0168_V,21.181325501242615,0.5558080077171326,0.3130142092704773
DJI_20260110101333_0171_V,23.55811954463136,0.7300142645835876,0.2226066142320633
DJI_20260110101341_0178_V,22.988536444857424,0.6019261479377747,0.22975444793701172
DJI_20260110101348_0187_V,23.341183079798306,0.7560860514640808,0.18563616275787354
DJI_20260110101353_0193_V,23.066666534089258,0.7382404804229736,0.18706610053777695
DJI_20260110101358_0199_V,22.139002116541135,0.6395323276519775,0.2332315817475319
DJI_20260110101405_0207_V,22.80868380800523,0.7037428021430969,0.21742185950279236
DJI_20260110101408_0210_V,21.364807853051847,0.5883682370185852,0.25654643028974533
DJI_20260110101411_0214_V,18.841032254641096,0.4114517569541931,0.3392324149608612
DJI_20260110101422_0224_V,21.436895456264896,0.6476134657859802,0.23685184866189957
DJI_20260110101441_0230_V,23.273834479778607,0.7106241583824158,0.20487809926271439
DJI_20260110101450_0239_V,24.982533137764516,0.8402066230773926,0.134196899831295
DJI_20260110101451_0241_V,26.04747985431239,0.8448913097381592,0.14932014793157578
DJI_20260110101453_0244_V,25.238447414700214,0.870624840259552,0.13669665530323982
DJI_20260110101456_0247_V,25.768147751385065,0.9183315634727478,0.11881714314222336
DJI_20260110101459_0251_V,23.074609870975312,0.731724202632904,0.19318917393684387
DJI_20260110101504_0257_V,22.40999406326879,0.6854837536811829,0.21078544855117798
DJI_20260110101519_0274_V,20.520555862955465,0.5490095615386963,0.2474846988916397
DJI_20260110101521_0277_V,22.719015811856327,0.7020347714424133,0.207063727080822
DJI_20260110101524_0280_V,22.438489446490102,0.691530704498291,0.2063286378979683
DJI_20260110101553_0294_V,22.402157887135296,0.6581836938858032,0.24104464799165726
DJI_20260110101555_0296_V,20.672772002887555,0.6467230319976807,0.25049904733896255
DJI_20260110101612_0317_V,22.809857000441454,0.9459700584411621,0.18344782292842865
DJI_20260110101613_0318_V,23.226362281534687,0.7227596044540405,0.19866979867219925
DJI_20260110101616_0322_V,21.534488147120253,0.7861961126327515,0.17205028980970383
DJI_20260110101619_0325_V,24.01744295223445,0.8645537495613098,0.13099590688943863
DJI_20260110101619_0326_V,22.87426872832549,0.8156574964523315,0.1749316155910492
DJI_20260110101621_0328_V,23.12314983845585,0.7537439465522766,0.21436649560928345
DJI_20260110101623_0330_V,22.50007804173322,0.6916497349739075,0.24093618988990784
DJI_20260110101627_0335_V,25.06283053767397,0.8112386465072632,0.18089980632066727
DJI_20260110101629_0337_V,23.981993801903208,0.7585172057151794,0.19395899027585983
DJI_20260110101631_0339_V,23.39712072688426,0.7277827858924866,0.19724006950855255
DJI_20260110101706_0362_V,21.21585444061425,0.7227917313575745,0.23826249688863754
DJI_20260110101709_0365_V,23.936779545063413,0.8198729753494263,0.18034125864505768
DJI_20260110101714_0372_V,26.697970650078382,0.9376161098480225,0.11183833703398705
DJI_20260110101716_0374_V,26.42368807006987,0.8844402432441711,0.13677509129047394
DJI_20260110101719_0378_V,26.099433431696177,0.8717743158340454,0.11998070031404495
DJI_20260110101720_0379_V,23.533558305886878,0.7237073183059692,0.19437043368816376
DJI_20260110101729_0389_V,22.763221374547786,0.7666189074516296,0.16841942816972733
DJI_20260110101734_0395_V,22.337312514417338,0.5610966086387634,0.31184329092502594
DJI_20260110101736_0398_V,22.624524339827556,0.7620696425437927,0.18289914727210999
DJI_20260110101739_0400_V,22.912765838949397,0.6617414355278015,0.24900705367326736
DJI_20260110101753_0402_V,20.549280797594434,0.4942237436771393,0.3791242092847824
DJI_20260110101754_0403_V,21.17646831207823,0.5355569124221802,0.33483533561229706
DJI_20260110101756_0404_V,22.17097787683679,0.6169353127479553,0.28026027977466583
DJI_20260110101802_0408_V,21.896184731052244,0.5870180726051331,0.3010617047548294
DJI_20260110101807_0414_V,26.310664750829957,0.8880612254142761,0.11287396773695946
DJI_20260110101810_0417_V,25.114032997214487,0.9204344153404236,0.1137559711933136
DJI_20260110101824_0435_V,25.183591507696484,0.8384535312652588,0.17377202212810516
DJI_20260110101826_0438_V,24.458318467970127,0.8307596445083618,0.18856259435415268
DJI_20260110101829_0441_V,23.78973564177184,0.7980225682258606,0.191520094871521
DJI_20260110101837_0451_V,27.279950602922295,0.9311142563819885,0.1604953557252884
DJI_20260110101846_0459_V,21.79872584503865,0.7302263975143433,0.22906699776649475
DJI_20260110101932_0465_V,22.371969813385814,0.6969344615936279,0.21702931821346283
DJI_20260110101939_0470_V,20.898165823621227,0.5697365403175354,0.2857087552547455
DJI_20260110101941_0471_V,19.515485223249907,0.5583664774894714,0.2956528812646866
DJI_20260110101942_0473_V,18.70050665141126,0.5129435062408447,0.320923775434494
DJI_20260110101944_0475_V,19.349197555184876,0.5371273756027222,0.2909070551395416
DJI_20260110101947_0478_V,22.826789230881598,0.7064433693885803,0.24824976921081543
DJI_20260110101951_0482_V,20.789443828551274,0.6622117757797241,0.24904754757881165
DJI_20260110101958_0487_V,19.297924080335434,0.5601785182952881,0.3224736750125885
DJI_20260110102000_0488_V,19.77567457653683,0.5467199683189392,0.3136010766029358
DJI_20260110102029_0501_V,22.574922817658745,0.7165894508361816,0.2408653125166893
DJI_20260110102030_0502_V,19.250355815005957,0.5644413232803345,0.3003039211034775
DJI_20260110102035_0508_V,19.766529029290076,0.5851737856864929,0.27041298151016235
DJI_20260110102036_0509_V,24.308978469113946,0.850465714931488,0.2183430790901184
DJI_20260110102038_0511_V,20.93367585240314,0.6140568852424622,0.254241444170475
DJI_20260110102040_0512_V,22.13756407154541,0.6513361930847168,0.23184940218925476
DJI_20260110102104_0521_V,25.48303987824645,0.8954135775566101,0.18096891045570374
